Designator,Mid X,Mid Y,Layer,Rotation
C1,57.695,25.525,top,0
C10,47.3075,25.525,top,180
C11,56.8325,35.3675,top,0
C12,46.99,38.4175,top,180
C13,46.99,40.005,top,180
C14,42.2275,29.5275,top,270
C15,55.79,41.5925,top,180
C16,24.765,44.1325,top,90
C17,39.6875,39.0875,top,0
C18,65.0875,40.9575,top,270
C19,65.0875,37.7825,top,90
C2,50.71,25.525,top,180
C20,17.145,44.1325,top,90
C21,26.67,22.5775,top,270
C22,25.0825,22.5775,top,270
C23,22.86,44.1325,top,90
C24,18.7325,26.9875,top,180
C25,39.6875,40.64,top,0
C26,39.6875,28.575,top,0
C27,34.6075,21.59,top,270
C3,50.71,23.62,top,180
C4,54.2025,27.43,top,0
C5,61.1875,23.62,top,0
C6,56.1975,31.75,top,0
C7,56.515,29.5275,top,0
C8,47.3075,27.43,top,180
C9,56.1075,33.4625,top,0
FB1,53.5675,33.4625,top,90
J1,3.4925,21.9325,bottom,90
J2,33.9725,15.5575,bottom,270
J3,23.8125,6.6675,bottom,270
J4,61.595,36.175,top,0
J6,11.7475,17.4625,top,90
P1,56.5775,13.2015,top,180
R1,47.2175,23.62,top,0
R10,52.3875,39.6875,top,180
R11,52.3875,36.5125,top,0
R12,44.45,40.9575,top,90
R13,46.99,43.4975,top,0
R14,39.6875,30.1625,top,180
R15,40.9575,33.3375,top,0
R16,44.45,35.8775,top,270
R17,65.0875,34.6075,top,270
R18,65.0875,31.4325,top,90
R2,61.1875,25.525,top,180
R3,50.71,27.43,top,0
R4,54.2025,23.62,top,180
R5,54.2025,25.525,top,180
R6,57.695,23.62,top,0
R7,53.34,29.845,top,0
R8,46.99,36.83,top,180
R9,52.3875,38.1,top,0
U1,48.4875,32.51,top,90
U2,29.155,33.5675,top,0
U3,13.335,39.0525,top,270
Y1,56.1975,38.6325,top,180
Y2,29.5275,22.26,top,0
